===== 训练统计信息 =====

模型: BiasSVD
训练文件: data/train.txt
测试文件: data/test.txt
输出文件: results/Predictions.txt
统计文件: results\TrainingStats.txt

===== 模型参数 =====
隐因子维度: 40
训练轮数: 100
学习率: 0.0005
正则化系数: 0.1
梯度剪裁阈值: 100.0
最小评分: 0.0
最大评分: 100.0

===== 性能指标 =====
总训练时间: 504.94 秒
平均每轮时间: 5.05 秒
峰值内存使用: 0.00 MB
最终 Train RMSE: 3.1879
最小 Train RMSE: 3.1879
最终 Val RMSE: 19.0972
最小 Val RMSE: 17.0405

===== RMSE 历史记录 =====
Epoch,TrainRMSE,ValRMSE,TestRMSE
1,20.0900,20.1807,nan
2,19.7002,19.8127,nan
3,19.4305,19.5604,nan
4,19.2252,19.3710,nan
5,19.0602,19.2212,nan
6,18.9222,19.0971,nan
7,18.8031,18.9923,nan
8,18.6970,18.9007,nan
9,18.5978,18.8178,nan
10,18.4953,18.7351,nan
11,18.3715,18.6408,nan
12,18.1963,18.5166,nan
13,17.9412,18.3464,nan
14,17.6216,18.1457,nan
15,17.3059,17.9641,nan
16,17.0359,17.8226,nan
17,16.8015,17.7131,nan
18,16.5863,17.6196,nan
19,16.3717,17.5389,nan
20,16.1448,17.4628,nan
21,15.8946,17.3922,nan
22,15.6149,17.3232,nan
23,15.3038,17.2620,nan
24,14.9677,17.2066,nan
25,14.6134,17.1576,nan
26,14.2498,17.1144,nan
27,13.8845,17.0829,nan
28,13.5224,17.0611,nan
29,13.1673,17.0455,nan
30,12.8205,17.0405,nan
31,12.4795,17.0431,nan
32,12.1449,17.0503,nan
33,11.8164,17.0638,nan
34,11.4918,17.0819,nan
35,11.1744,17.1096,nan
36,10.8626,17.1377,nan
37,10.5581,17.1717,nan
38,10.2613,17.2082,nan
39,9.9725,17.2489,nan
40,9.6936,17.2911,nan
41,9.4213,17.3353,nan
42,9.1580,17.3800,nan
43,8.9029,17.4250,nan
44,8.6563,17.4729,nan
45,8.4180,17.5214,nan
46,8.1873,17.5680,nan
47,7.9647,17.6162,nan
48,7.7499,17.6645,nan
49,7.5427,17.7126,nan
50,7.3435,17.7582,nan
51,7.1514,17.8044,nan
52,6.9670,17.8485,nan
53,6.7885,17.8924,nan
54,6.6171,17.9369,nan
55,6.4531,17.9793,nan
56,6.2946,18.0222,nan
57,6.1440,18.0609,nan
58,5.9991,18.1000,nan
59,5.8588,18.1377,nan
60,5.7255,18.1751,nan
61,5.5980,18.2114,nan
62,5.4755,18.2469,nan
63,5.3581,18.2825,nan
64,5.2460,18.3169,nan
65,5.1382,18.3487,nan
66,5.0345,18.3802,nan
67,4.9368,18.4112,nan
68,4.8429,18.4419,nan
69,4.7529,18.4717,nan
70,4.6669,18.4997,nan
71,4.5842,18.5287,nan
72,4.5043,18.5574,nan
73,4.4281,18.5841,nan
74,4.3553,18.6097,nan
75,4.2866,18.6336,nan
76,4.2188,18.6582,nan
77,4.1542,18.6819,nan
78,4.0928,18.7055,nan
79,4.0334,18.7282,nan
80,3.9772,18.7495,nan
81,3.9217,18.7728,nan
82,3.8688,18.7927,nan
83,3.8189,18.8114,nan
84,3.7702,18.8330,nan
85,3.7235,18.8525,nan
86,3.6787,18.8709,nan
87,3.6344,18.8898,nan
88,3.5927,18.9075,nan
89,3.5524,18.9261,nan
90,3.5133,18.9428,nan
91,3.4756,18.9606,nan
92,3.4392,18.9767,nan
93,3.4041,18.9939,nan
94,3.3710,19.0087,nan
95,3.3370,19.0245,nan
96,3.3052,19.0403,nan
97,3.2739,19.0552,nan
98,3.2441,19.0693,nan
99,3.2155,19.0835,nan
100,3.1879,19.0972,nan

===== 系统信息 =====
操作系统: Windows 11
处理器: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel
Python版本: 3.12.4
NumPy版本: 1.26.4
Pandas版本: 2.2.2
